pays,code_iso3,volaille_kcal_hab_jour,population_milliers,pib_par_habitant_ppp,pct_pop_ne_peut_manger_sain,imports_alim_pct_imports_totaux,densite_population_hab_km2,pct_population_urbaine,lpi_efficacite_douane,croissance_pib_pct,marche_volaille,taux_dependance_import,prix_moyen_import,part_bio_agriculture,indice_stabilite_globale,part_volaille_viande,distance_france_km,volaille_import_valeur_usd_hab
Haiti,HTI,-0.7094115733332527,-0.24737038985338286,-0.8947883008134198,1.6904147272500278,3.248576738461563,1.2331029219017975,-0.46790290040302546,-1.5689268795081688,-0.5189565784850392,-0.29022266858243345,0.742048986230273,-0.6753568924051073,-0.515104890624719,-1.597639225527393,0.33086139413393173,0.5032627955162319,-0.21693728898130676
Paraguay,PRY,-0.6162134419152799,-0.27259733714281964,-0.3872780271113126,-0.3413991514038662,-0.751749908285017,-0.6210388187796825,0.1314384319684245,-0.413933007223332,0.3502572737749042,-0.3022228949897598,-1.3317247695651309,0.039917609159078486,-0.5285027868126104,-0.5597711522740489,-0.8349193002762343,1.2569766640044793,-0.5977706593010906
Kyrgyzstan,KGZ,-1.1055036318596365,-0.2732648043121043,-0.7925236525501301,0.297608226628526,-0.005184363144441029,-0.5376911243261113,-1.2398933487944908,-0.8367279851420325,0.32374719514267425,-0.31961106715331766,0.742048986230273,-0.5143072021562973,-0.5351263951354425,-0.7998659304365356,-1.4394198032108294,-0.017034869018129364,-0.35929328225350154
Republic of Moldova,MDA,0.23196180060177357,-0.2931274580337961,-0.48157400148395635,-0.8541356104238695,-0.018711300420761585,-0.2273508271039994,-0.9958127877449137,-0.7529317784821711,0.11046010256865509,-0.3038482866911769,0.742048986230273,-0.6436628881503137,-0.30018612272206663,-0.5409661822945432,0.2621659786219678,-0.9437638294177098,-0.3136860072485123
Australia,AUS,2.1179596460794303,-0.16900852763301039,1.3848950669025035,-1.160246929241782,-1.0700945385212384,-0.683853501151379,1.317383402445082,1.7171587088768852,-0.6009571561856429,0.14604949968041125,-1.299519297556795,0.7414734179067676,1.4421251618604305,1.7554002200659786,0.24457323363333505,3.0735492168298353,-0.4944815674241618
Cyprus,CYP,0.3334682925725113,-0.30123337398500566,0.7612820714603397,-1.118156622904319,0.0022538644033172246,-0.03121027479417379,0.32462517227048043,0.5999538314800441,0.7058157189457878,-0.3155849720540044,0.742048986230273,0.36926933740545304,0.396153621208999,1.0129434266265467,-0.3033900480807462,-0.6812893435476154,1.0224897159835122
Comoros,COM,-0.11319639540548569,-0.3040359926510062,-0.9049419336740816,1.1738518767448003,2.9219966844918495,1.3024123477220946,-1.4311334848622248,-0.21022181605375204,-0.025568109587037355,-0.32204777690679276,0.742048986230273,-0.5295841749923856,-0.34601625269257275,-1.0824866189375943,1.7220741988257178,0.6320632785289707,0.26712835392219025
Bulgaria,BGR,0.2001732906607598,-0.26844654856447697,0.0994537152092716,-0.877093959335213,-0.5710282490801547,-0.3910165642675539,0.6434734127874343,-0.13225843889013525,-0.42989045000725057,-0.2672075709373457,0.742048986230273,-0.5691819557685965,-0.002569581293404615,0.02108006751007704,-0.0051444730565194255,-1.0017235830022952,0.27744177183299185
United States of America,USA,2.321875712689684,1.5627318045845433,1.790654800334266,-1.07989270805208,-1.1253614682864947,-0.5237892224087051,0.9874234105172979,1.8228550010891529,-0.5388553224852289,6.405713198680952,-1.4822888946342174,0.7962599320998026,-0.47371344862121295,1.3355782263291118,0.3030263720770528,0.18320195765122377,-0.5422148327002193
Burkina Faso,BFA,-1.1802788768345216,-0.19624919706999616,-0.9479984780832169,1.2618588809049502,-0.26503060838916714,-0.34156440835775226,-1.682429605613739,-0.46957985924201173,0.8768977650295436,-0.3113346768751372,-1.5350969312813232,-0.7171899598876548,-0.48381344809286536,-0.5729902146238427,-1.0874261895452249,-0.37925466343482833,-0.6118942713546873
Albania,ALB,-0.5296981222462704,-0.2919743297894341,-0.43718934475971327,-0.3413991514038662,0.10513641583947307,-0.22369067647133267,-0.2105960305321756,-0.8060603748064007,-0.22683675050171107,-0.31435201714527294,0.742048986230273,-0.666716867964521,-0.5638421726457115,-0.1041130486356628,-0.6009644529477595,-1.043753738402661,-0.3238107061387548
Spain,ESP,0.7098731489195174,-0.04432626868381654,0.9033900891768591,-0.8541356104238695,-0.3354205350680758,-0.24055922806077037,0.9415295735093548,1.4345692218671642,-0.37315426084420816,0.20266743697709777,0.742048986230273,0.18305670263580806,1.091426639238288,0.8491258221517887,-0.45142293865366323,-1.1910482970211917,-0.06295299844796969
North Macedonia,MKD,0.14923942814163507,-0.2973663335797163,-0.18163482993335253,-0.3567047173447619,-0.4647702846798849,-0.32890856011291236,-0.02597494216898479,-0.7372506430760446,-1.058858623318033,-0.3112487359888432,0.742048986230273,-0.36991244074067126,-0.5286780230366832,-0.1819822555252492,0.5824940938173837,-1.026082882781252,1.034403148672209
