year;country;wash_mortality_rate;country_year
2016;Saint Vincent and the Grenadines;1,33276;Saint Vincent and the Grenadines_2016
2016;Samoa;1,48876;Samoa_2016
2016;Sao Tome and Principe;11,3611;Sao Tome and Principe_2016
2016;Saudi Arabia;0,09226;Saudi Arabia_2016
2016;Senegal;23,86927;Senegal_2016
2016;Serbia;0,73678;Serbia_2016
2016;Seychelles;0,1694;Seychelles_2016
2016;Sierra Leone;81,29262;Sierra Leone_2016
2016;Singapore;0,06611;Singapore_2016
2016;Slovakia;0,04474;Slovakia_2016
2016;Slovenia;0,02115;Slovenia_2016
2016;Solomon Islands;6,17562;Solomon Islands_2016
2016;Somalia;86,57523;Somalia_2016
2016;South Africa;13,66885;South Africa_2016
2016;South Sudan;63,28665;South Sudan_2016
2016;Spain;0,15183;Spain_2016
2016;Sri Lanka;1,19003;Sri Lanka_2016
2016;Sudan;17,32224;Sudan_2016
2016;Suriname;2,00714;Suriname_2016
2016;Sweden;0,21519;Sweden_2016
2016;Switzerland;0,13784;Switzerland_2016
2016;Syrian Arab Republic;3,6654;Syrian Arab Republic_2016
2016;Tajikistan;2,70048;Tajikistan_2016
2016;Thailand;3,50653;Thailand_2016
2016;Timor-Leste;9,91329;Timor-Leste_2016
2016;Togo;41,63327;Togo_2016
2016;Tonga;1,42545;Tonga_2016
2016;Trinidad and Tobago;0,14189;Trinidad and Tobago_2016
2016;Tunisia;1,01527;Tunisia_2016
2016;Turkey;0,2957;Turkey_2016
2016;Turkmenistan;3,97765;Turkmenistan_2016
2016;Uganda;31,55895;Uganda_2016
2016;Ukraine;0,26862;Ukraine_2016
2016;United Arab Emirates;0,02912;United Arab Emirates_2016
2016;United Kingdom of Great Britain and Northern Ireland;0,1972;United Kingdom of Great Britain and Northern Ireland_2016
2016;United Republic of Tanzania;38,40323;United Republic of Tanzania_2016
2016;United States of America;0,23153;United States of America_2016
2016;Uruguay;0,36017;Uruguay_2016
2016;Uzbekistan;0,44151;Uzbekistan_2016
2016;Vanuatu;10,41773;Vanuatu_2016
2016;Venezuela;1,3903;Venezuela (Bolivarian Republic of)_2016
2016;Viet Nam;1,6208;Viet Nam_2016
2016;Yemen;10,20328;Yemen_2016
2016;Zambia;34,91273;Zambia_2016
2016;Zimbabwe;24,55074;Zimbabwe_2016
